team,pace,ast,to,orr,drr,rebounds,eff_fgp,tsp,off_eff,def_eff
sac,102.4,17.8,14.5,24.2,76.1,50.4,51,54.7,103.3,106.1
gs,102.3,20.5,13.7,24.7,75.9,51.8,56.1,59.2,112.7,99.7
bos,101.2,17.8,12.5,24.9,74.6,49.3,49,53.1,103.4,99.9
phx ,100.3,15.6,15.2,23.9,76.3,49.5,49.2,53.1,99.5,107
wsh,100.1,18.1,13.3,19.8,76.4,47.4,50.9,54.5,102.6,104.5
phi,100,15.8,16.3,21.5,74.9,47.8,48.6,51.7,94.8,104.8
hou,99.8,16.2,14.5,24.8,72.8,48.7,51,55,104.2,106.1
ind,99.5,15.5,13.7,23.8,75.5,49.5,49.6,53.4,102,99.5
okc,99.4,16.6,13.7,30.4,75.9,54.3,52.2,56.5,109.9,101.6
atl,99.3,19,14.1,19.8,74.3,47.4,51.7,55.3,103.2,100
chi,98.7,16.3,12.6,25.1,74.7,50.6,47.8,51.7,100.8,101.8
lal,98.3,14.3,12.8,22.9,73.9,47.8,45.9,50.7,97.8,108.5
no,98.3,16.7,12,21.3,77.9,48.7,49.8,53.6,103.5,106.6
lac,98.2,17.4,12.1,20.7,74.8,47.9,52,55.3,106.2,100.8
den,97.9,16.8,13.3,25.9,77.3,51.1,48.3,52.7,102.1,105.5
cha,97.8,16.3,12.2,20.5,79.8,49.6,49.1,53.6,103,101.6
det,97.8,14.2,12.2,27.7,78.6,51.9,48.6,51.4,102,102.3
por,97.6,16.3,13.4,26.5,77.2,51.8,50.8,54,104.8,104.1
min,96.9,17.2,13.9,24.8,75.7,50.5,48.7,54.1,103,106.2
bkn,96.7,16.9,13.9,23.7,76.1,49.6,48.8,52.3,99.6,106.6
orl,96.6,17.4,13.5,23.6,76.6,50,49.5,52.8,101,103
dal,96.4,16.7,12,19.8,76.7,48.1,49.6,53.8,103.2,103.3
mil,96.4,17.6,14.4,25.3,72.7,49.2,49.4,53.4,101.5,105.8
sa,96.3,19.3,12.7,23.2,79.5,52.6,53.4,57,109.1,95.8
ny,96,15.9,12.6,24.1,75.5,50,48.1,52.7,102.1,104.8
tor,95.8,14.8,12.7,24.3,77.8,51.3,49.9,54.8,105.8,101.8
mem,95.3,16.7,12.5,23,75.6,48.8,48.2,53.1,102.3,103
cle,95.2,17.2,12.6,25.4,78.3,52.1,51.7,54.9,106.9,100.9
mia,94.9,16.3,13.7,21.9,78.4,50.9,50,53.7,101.6,100.7
utah,93.1,14.9,14.1,26.3,77,51.7,49.8,53.9,103.3,102.3
,,,,,,,,,,
